model,seed,period,horizon_min,horizon_label,n,MAE,RMSE,WMAPE,MAPE,mape_excluded
B5,1,all,60,60min,630423,1.68728197,2.57164168,7.68949032,9.19689941,35
B5,1,all,-1,mean,2517410,1.67507434,2.55140758,7.63301849,9.10246563,145
B5,1,am_peak,15,15min,88344,1.57663631,2.33385062,7.56087446,8.72821617,1
B5,1,am_peak,30,30min,88344,1.59462905,2.38227439,7.64715958,8.87806511,1
B5,1,am_peak,45,45min,88344,1.62236202,2.43178511,7.78015566,9.09269047,1
B5,1,am_peak,60,60min,88344,1.65504694,2.48181844,7.93689871,9.34271049,1
B5,1,am_peak,-1,mean,353376,1.61216855,2.40806413,7.73127222,9.01042080,4
B5,1,inter_peak,15,15min,176687,1.40341067,2.11609578,6.73015881,7.85373974,5
B5,1,inter_peak,30,30min,176687,1.41352379,2.13488531,6.77865648,7.92984438,5
B5,1,inter_peak,45,45min,176687,1.41879320,2.14143109,6.80392694,7.97134542,5
B5,1,inter_peak,60,60min,176687,1.42536056,2.15132189,6.83542109,8.01161575,5
B5,1,inter_peak,-1,mean,706748,1.41527212,2.13597226,6.78704166,7.94163561,20
B5,1,pm_peak,15,15min,87655,1.72574973,2.73588347,8.58625507,10.65620899,3
B5,1,pm_peak,30,30min,87655,1.75170767,2.79740787,8.71540642,10.85815620,3
B5,1,pm_peak,45,45min,87655,1.77089119,2.83411765,8.81085110,11.02969265,3
B5,1,pm_peak,60,60min,87655,1.78419995,2.85281205,8.87706757,11.18289566,3
B5,1,pm_peak,-1,mean,350620,1.75813723,2.80541039,8.74739552,10.93173790,12
B5,1,off_peak,15,15min,275519,1.83791864,2.74852490,7.79075098,9.31766891,30
B5,1,off_peak,30,30min,276340,1.83475280,2.74876094,7.78126574,9.30123806,28
B5,1,off_peak,45,45min,277070,1.83282185,2.74727845,7.77555990,9.27812386,25
B5,1,off_peak,60,60min,277737,1.83357346,2.74577022,7.78096533,9.27777672,26
B5,1,off_peak,-1,mean,1106666,1.83476162,2.74758077,7.78212547,9.29365349,109
B5,2,all,15,15min,628205,1.65904558,2.51389790,7.55882549,8.98783112,39
B5,2,all,30,30min,629026,1.66585624,2.53221416,7.59092712,9.05010319,37
B5,2,all,45,45min,629756,1.67195511,2.54270434,7.61921120,9.09893990,34
B5,2,all,60,60min,630423,1.67880321,2.55253863,7.65084934,9.15355682,35
B5,2,all,-1,mean,2517410,1.66892457,2.53539801,7.60499477,9.07268810,145
B5,2,am_peak,15,15min,88344,1.57280207,2.32876348,7.54248714,8.66623402,1
B5,2,am_peak,30,30min,88344,1.58579779,2.36396241,7.60480928,8.79481792,1
B5,2,am_peak,45,45min,88344,1.60397851,2.40143776,7.69199562,8.96322250,1
B5,2,am_peak,60,60min,88344,1.62224758,2.43604517,7.77960730,9.12926769,1
B5,2,am_peak,-1,mean,353376,1.59620643,2.38289094,7.65472507,8.88838577,4
B5,2,inter_peak,15,15min,176687,1.40438235,2.11436796,6.73481846,7.85794687,5
B5,2,inter_peak,30,30min,176687,1.41490567,2.13433337,6.78528404,7.92958307,5
B5,2,inter_peak,45,45min,176687,1.42096305,2.14242744,6.81433249,7.97094488,5
B5,2,inter_peak,60,60min,176687,1.42804861,2.15426350,6.84831238,8.01020813,5
B5,2,inter_peak,-1,mean,706748,1.41707492,2.13639760,6.79568672,7.94217062,20
B5,2,pm_peak,15,15min,87655,1.71111679,2.70020604,8.51345062,10.56453037,3
B5,2,pm_peak,30,30min,87655,1.73569584,2.75988007,8.63574028,10.77234077,3
B5,2,pm_peak,45,45min,87655,1.75624788,2.79501963,8.73799515,10.94243526,3
B5,2,pm_peak,60,60min,87655,1.77449346,2.82979631,8.82877350,11.11897278,3
B5,2,pm_peak,-1,mean,350620,1.74438846,2.77163911,8.67898941,10.84957027,12
B5,2,off_peak,15,15min,275519,1.83344531,2.73567605,7.77178907,9.31394386,30
B5,2,off_peak,30,30min,276340,1.82975042,2.73504233,7.76005030,9.30188942,28
B5,2,off_peak,45,45min,277070,1.82701933,2.73091102,7.75094414,9.27833271,25
B5,2,off_peak,60,60min,277737,1.82611430,2.72431493,7.74931145,9.26836014,26
B5,2,off_peak,-1,mean,1106666,1.82907403,2.73147726,7.75800133,9.29057789,109
B6,0,all,15,15min,628205,1.66490149,2.52493763,7.58550596,9.05745983,39
B6,0,all,30,30min,629026,1.67168403,2.53981376,7.61748314,9.10915852,37
B6,0,all,45,45min,629756,1.67686737,2.54952216,7.64159632,9.14674664,34
B6,0,all,60,60min,630423,1.68192112,2.55721331,7.66505909,9.18848133,35
B6,0,all,-1,mean,2517410,1.67385173,2.54291606,7.62744713,9.12552547,145
B6,0,am_peak,15,15min,88344,1.58153141,2.35701132,7.58434963,8.83875751,1
B6,0,am_peak,30,30min,88344,1.60409915,2.39999747,7.69257450,8.97703934,1
B6,0,am_peak,45,45min,88344,1.62790382,2.44060302,7.80673170,9.12808895,1
B6,0,am_peak,60,60min,88344,1.65356362,2.48555398,7.92978477,9.30428314,1
B6,0,am_peak,-1,mean,353376,1.61677432,2.42126060,7.75335932,9.06204319,4
B6,0,inter_peak,15,15min,176687,1.40692151,2.11487579,6.74699545,7.89281225,5
B6,0,inter_peak,30,30min,176687,1.41606629,2.13142276,6.79084969,7.95076180,5
B6,0,inter_peak,45,45min,176687,1.42225540,2.14030933,6.82052994,7.99179840,5
