id,name,description,direction,is_dwell_times_filtering_countline,is_anpr,is_speed,start_lat,start_long,end_lat,end_long,mean_lat,mean_lon
54725,S262_MeltonRd(A606)_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.931862,-1.13655,52.931862,-1.13658,52.931862,-1.136565
54726,S268_LoughboroughRd(A60)_path_LHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.908852,-1.14515,52.908852,-1.14511,52.908852,-1.14513
54727,S268_LoughboroughRd(A60)_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.908852,-1.14511,52.908871,-1.14497,52.9088615,-1.14504
54728,S268_LoughboroughRd(A60)_path_RHS_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.908852,-1.14496,52.908852,-1.14494,52.908852,-1.1449500000000001
54744,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.96117,-1.17003,52.961201,-1.16995,52.9611855,-1.1699899999999999
54748,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.931889,-1.13641,52.931889,-1.13646,52.931889,-1.136435
54757,S89_AlfretonRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.956348,-1.16255,52.95639,-1.16249,52.956368999999995,-1.16252
54758,S89_AlfretonRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.956402,-1.1625,52.956409,-1.16247,52.9564055,-1.162485
54760,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.95647,-1.16278,52.956509,-1.16271,52.9564895,-1.162745
54762,S90_AlfretonRd_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.956299,-1.16269,52.95631,-1.16266,52.9563045,-1.1626750000000001
54763,S90_AlfretonRd_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,True,52.956329,-1.16267,52.95636,-1.16259,52.9563445,-1.16263
54764,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.956429,-1.16283,52.956459,-1.16276,52.956444000000005,-1.162795
54767,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.908939,-1.14515,52.908958,-1.14501,52.908948499999994,-1.14508
54912,S254_CliftonLn_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.924931,-1.16364,52.924889,-1.16354,52.92491,-1.1635900000000001
54913,S254_CliftonLn_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.924831,-1.16354,52.92482,-1.16351,52.9248255,-1.163525
54914,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.925011,-1.1635,52.92498,-1.16341,52.924995499999994,-1.163455
54915,S255_CliftonLn_path_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.925091,-1.16371,52.925072,-1.16368,52.925081500000005,-1.1636950000000001
54916,S255_CliftonLn_raod_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.925079,-1.16365,52.925041,-1.16357,52.92506,-1.16361
54917,Countline 1,,CLOCKWISE_AND_ANTICLOCKWISE,False,True,False,52.925129,-1.16357,52.925091,-1.16349,52.925110000000004,-1.16353
55269,S54_MarinerSt_road_not002,,CLOCKWISE_AND_ANTICLOCKWISE,False,False,False,52.944511,-1.12307,52.944611,-1.12311,52.944561,-1.12309
